"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count_1","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_C","count_Start_E","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac_1","count_Target_response_wrong_Prac_1","count_Trial_logger","count_Welcome_PP_C","count_Welcome_PP_E","count_postdata_C","count_postdata_E","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gender","height","keyboard_backend","language1","language2","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","month","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_C","response_Start_E","response_Target_response_Prac","response_Welcome_PP_C","response_Welcome_PP_E","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_C","response_time_Start_E","response_time_Target_response_Prac","response_time_Welcome_PP_C","response_time_Welcome_PP_E","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count_1","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_C","time_Start_E","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac_1","time_Target_response_wrong_Prac_1","time_Trial_logger","time_Welcome_PP_C","time_Welcome_PP_E","time_postdata_C","time_postdata_E","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","year"
"F","100","F","F","PP_LIST3.csv","watch.jpg","skirt.jpg","85.7142857143","85.7142857143","354.428571429","354.428571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","0","0","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","252","NA","NA","252","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","35252","33295","25935","34613","35753","35251","25221","35142","35753","NA","NA","36007","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","36507","NA","25223","NA","13498","Orientation_PSA2018","6","2481","7","yes","1024","2000"
"F","100","F","F","PP_LIST3.csv","wrench.jpg","piano.jpg","75","75","339.625","339.625","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","1","1","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","236","NA","NA","236","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","36617","33295","25935","34613","37118","36615","25221","35142","37118","NA","NA","37356","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","37856","NA","25223","NA","13498","Orientation_PSA2018","6","2717","8","yes","1024","2000"
"N","100","V","H","PP_LIST3.csv","clothespinV.jpg","clothespinH.jpg","77.7777777778","77.7777777778","356.333333333","356.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","2","2","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","490","NA","NA","490","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","37960","33295","25935","34613","38461","37959","25221","35142","38461","38953","NA","37356","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","39453","NA","25223","NA","13498","Orientation_PSA2018","7","3207","9","yes","1024","2000"
"N","100","V","H","PP_LIST3.csv","crayonV.jpg","crayonH.jpg","80","80","373.8","373.8","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","3","3","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","531","NA","NA","531","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","39559","33295","25935","34613","40060","39557","25221","35142","40060","40593","NA","37356","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","41093","NA","25223","NA","13498","Orientation_PSA2018","8","3738","10","yes","1024","2000"
"F","100","F","F","PP_LIST3.csv","tiger.jpg","wndmil.jpg","72.7272727273","72.7272727273","362.545454545","362.545454545","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","4","4","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","250","NA","NA","250","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","41191","33295","25935","34613","41692","41190","25221","35142","41692","40593","NA","41944","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","42444","NA","25223","NA","13498","Orientation_PSA2018","8","3988","11","yes","1024","2000"
"F","100","F","F","PP_LIST3.csv","spider.jpg","couch.jpg","66.6666666667","66.6666666667","344.833333333","344.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","5","5","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","150","NA","NA","150","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","42542","33295","25935","34613","43043","42540","25221","35142","43043","40593","NA","43195","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","43695","NA","25223","NA","13498","Orientation_PSA2018","8","4138","12","yes","1024","2000"
"N","100","H","V","PP_LIST3.csv","bowlH.jpg","bowlV.jpg","69.2307692308","69.2307692308","338.384615385","338.384615385","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","6","6","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","261","NA","NA","261","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","43798","33295","25935","34613","44299","43796","25221","35142","44299","44562","NA","43195","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","45062","NA","25223","NA","13498","Orientation_PSA2018","9","4399","13","yes","1024","2000"
"Y","100","H","H","PP_LIST3.csv","glassH.jpg","glassH.jpg","71.4285714286","71.4285714286","333.285714286","333.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","7","7","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","267","NA","NA","267","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","45179","33295","25935","34613","45684","45177","25221","35142","45688","45957","NA","43195","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","46457","NA","25223","NA","13498","Orientation_PSA2018","10","4666","14","yes","1024","2000"
"F","100","F","F","PP_LIST3.csv","skirt.jpg","tlphon.jpg","66.6666666667","66.6666666667","326.466666667","326.466666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","8","8","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","231","NA","NA","231","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","46554","33295","25935","34613","47055","46553","25221","35142","47055","45957","NA","47287","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","47787","NA","25223","NA","13498","Orientation_PSA2018","10","4897","15","yes","1024","2000"
"Y","100","H","H","PP_LIST3.csv","ironH.jpg","ironH.jpg","68.75","68.75","323.3125","323.3125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","9","9","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","276","NA","NA","276","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","47908","33295","25935","34613","48409","47906","25221","35142","48409","48687","NA","47287","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","49187","NA","25223","NA","13498","Orientation_PSA2018","11","5173","16","yes","1024","2000"
"F","100","F","F","PP_LIST3.csv","mitten.jpg","needle.jpg","64.7058823529","64.7058823529","323.647058824","323.647058824","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","10","0","10","5","0","0","10","10","0","0","10","10","10","10","0","5","0","5","0","0","0","0","0","5","5","5","5","5","10","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","10","10","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","329","NA","NA","329","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","49284","33295","25935","34613","49785","49283","25221","35142","49785","48687","NA","50116","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","50616","NA","25223","NA","13498","Orientation_PSA2018","11","5502","17","yes","1024","2000"
"F","100","F","F","PP_LIST3.csv","stove.jpg","ftball.jpg","61.1111111111","61.1111111111","328.166666667","328.166666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","11","0","11","5","0","0","11","11","0","0","11","11","11","11","0","5","0","5","0","0","0","0","0","5","5","5","5","5","11","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","11","11","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","405","NA","NA","405","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","50733","33295","25935","34613","51234","50732","25221","35142","51234","48687","NA","51641","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","52141","NA","25223","NA","13498","Orientation_PSA2018","11","5907","18","yes","1024","2000"
"F","100","F","F","PP_LIST3.csv","trmpet.jpg","tapedispenser.jpg","57.8947368421","57.8947368421","329.526315789","329.526315789","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","12","0","12","5","0","0","12","12","0","0","12","12","12","12","0","5","0","5","0","0","0","0","0","5","5","5","5","5","12","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","12","12","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","354","NA","NA","354","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","52238","33295","25935","34613","52739","52237","25221","35142","52739","48687","NA","53095","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","53595","NA","25223","NA","13498","Orientation_PSA2018","11","6261","19","yes","1024","2000"
"N","100","V","H","PP_LIST3.csv","caterpillarV.jpg","caterpillarH.jpg","60","60","337.15","337.15","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","13","0","13","5","0","0","13","13","0","0","13","13","13","13","0","5","0","5","0","0","0","0","0","5","5","5","5","5","13","0","0","0","0","02/08/19 23:08:33","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","13","13","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-4.csv","3","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","482","NA","NA","482","NA","519","291","NA","703","2","legacy","1024","2","48000","-16","EXP","4","even","NA","25221","1334","1335","11969","25211","25211","NA","NA","35142","53719","33295","25935","34613","54220","53716","25221","35142","54220","54703","NA","53095","25935","34589","25948","33293","25948","25948","25935","NA","34614","33796","33796","34089","NA","NA","55203","NA","25223","NA","13498","Orientation_PSA2018","12","6743","20","yes","1024","2000"
