Orientation1,Orientation2,Picture1,Picture2,correct_response
H,V,axeH.jpg,axeV.jpg,j
H,V,batH.jpg,batV.jpg,j
H,V,bookH.jpg,bookV.jpg,j
H,V,bottleH.jpg,bottleV.jpg,j
H,V,bowlH.jpg,bowlV.jpg,j
H,V,broomH.jpg,broomV.jpg,j
V,H,brushV.jpg,brushH.jpg,j
V,H,caterpillarV.jpg,caterpillarH.jpg,j
V,H,crayonV.jpg,crayonH.jpg,j
V,H,clothespinV.jpg,clothespinH.jpg,j
V,H,flashV.jpg,flashH.jpg,j
V,H,fire_extinguisherV.jpg,fire_extinguisherH.jpg,j
H,H,glassH.jpg,glassH.jpg,j
H,H,guitarH.jpg,guitarH.jpg,j
H,H,ironH.jpg,ironH.jpg,j
H,H,keyH.jpg,keyH.jpg,j
H,H,nailH.jpg,nailH.jpg,j
H,H,pencilH.jpg,pencilH.jpg,j
V,V,penV.jpg,penV.jpg,j
V,V,plateV.jpg,plateV.jpg,j
V,V,saltV.jpg,saltV.jpg,j
V,V,screwV.jpg,screwV.jpg,j
V,V,scssorV.jpg,scssorV.jpg,j
V,V,tireV.jpg,tireV.jpg,j
F,F,spider.jpg,couch.jpg,f
F,F,stove.jpg,ftball.jpg,f
F,F,ladder.jpg,house.jpg,f
F,F,knife.jpg,ladder.jpg,f
F,F,tlphon.jpg,knife.jpg,f
F,F,wndmil.jpg,mitten.jpg,f
F,F,mitten.jpg,needle.jpg,f
F,F,ftball.jpg,nut.jpg,f
F,F,wrench.jpg,piano.jpg,f
F,F,sutcse.jpg,pumpkin.jpg,f
F,F,house.jpg,ring.jpg,f
F,F,watch.jpg,skirt.jpg,f
F,F,couch.jpg,spider.jpg,f
F,F,ring.jpg,stove.jpg,f
F,F,piano.jpg,sutcse.jpg,f
F,F,trmpet.jpg,tapedispenser.jpg,f
F,F,needle.jpg,tiger.jpg,f
F,F,skirt.jpg,tlphon.jpg,f
F,F,pumpkin.jpg,trmpet.jpg,f
F,F,nut.jpg,watch.jpg,f
F,F,tiger.jpg,wndmil.jpg,f
F,F,tapedispenser.jpg,wrench.jpg,f
F,F,umberella.jpg,flower.jpg,f
F,F,buggy.jpg,glass.jpg,f